acc_name,create_at,full_text,retweet_count,fav_count,follower_count
Slot888covid,2020-05-23 16:35:38,"ทั้งเสียวทั้งเจ็บ ร้องให้ไปเลย

️ทางเข้า 
 แอดเลย LINE : @Slot888covid

#covid #covid19 #918kiss #joker123 #ACE333​ ​#scr888 #slotciti #king99 #sexybaccarat #SlotXO #StarVagus #Live22 #lsm99 #Goldclubslot #gclubslot #king99​ #sclub ",12,30,25276
interleukin_02,2020-05-23 16:32:36,"(1/2) จะเล่าว่าอังกฤษมีความปัญญาอ่อนระดับวิษณุ เครืองาม คือเมื่อเดือนมีนาที่มัน lockdown อยู่ ที่ปรึกษานายกฯ และภรรยาที่ป่วยเป็น COVID-19 ขับรถข้ามจังหวัด 420 กม. เพื่อ ""ดูแลลูก"" ในขณะที่นักการเมืองคนอื่นโดนสาดโคลนด้วยเหตุผลเดียวกัน และคนอื่นไปงานศพญาติไม่ได้เพราะห้ามเดินทาง",0,0,142
Slot888covid,2020-05-23 16:30:43,"ก่อนนอนคืนนี้ ขอก่อน2ทีละกัน จะได้หลับสบาย ฟินเลย

️ทางเข้า 
 แอดเลย LINE : @Slot888covid

#covid #covid19 #918kiss #joker123 #ACE333​ ​#scr888 #slotciti #king99 #sexybaccarat #SlotXO #StarVagus #Live22 #lsm99 #Goldclubslot #gclubslot #king99​ #sclub ",7,16,25276
N7qXNTPPqX1itHT,2020-05-23 16:30:16,Covid-19 ปัญญาเเปลงให้พลังสำนึกบุญ(คน)ไม่สลับซับซ้อน จิตสร้างสำนึกใหม่ ใช้พลัง(จิต)สาธารณะ ฉายฉากกระบวนทัศน์รับรู้ร่วมวิถีชีวิตจิตใหม่ #ดินสอทอง,0,0,15
annniex_,2020-05-23 16:27:33,เก็บกดจากการปิด covid มากก ,0,0,2164
ssookserm21,2020-05-23 16:21:23,เมื่อไหร่จะได้ผ่าให้มันจบๆ กันไปสักที เบื่อที่ต้องโดนเจาะเลือด ตรวจนู่นนั่นนี่เต็มทีแล้ว นัดผ่ารอบหน้าก็ต้องมาเรื่องตรวจใหม่ เจาะใหม่ swab COVID ใหม่อีกรอบ แม่ง... มันทรมานนะเฟ้ย!!!,0,0,1713
sonata051239,2020-05-23 16:19:03,"Hi Covid-19 Dairy Day - 13

หายไปเลย 2 วันเต็ม ( ติดเกม )

วันนี้เลิก ดึกนิดหน่อย เลยได้มีโอกาศเข้า 7 11 แล้วมีให้แสกน เข้า 

ขอบอกเลยว่า ร้านเล็กๆ อะ คนออ กันตรง ประตู สุดๆ อาจจะต้องปรับ วิธีใหม่ ก็คงไม่รอด เดริเวอรี่ แต่ก็ในสถานะการแบบนี้ มันก็ช่วยได้เยอะ",0,1,1
Pattappp,2020-05-23 16:08:43,พรุ่งนี้จะต้องใส่ขุดเต็มยศ เสื้อกาวน์ หมวกคลุม N95 face shield จะไปทำแลปตรวจ covid ฮึ้บๆสู้!!,0,0,514
Muanjaiz,2020-05-23 16:05:48,ธุรกิจสถานบันเทิงกับผลกระทบจากสถานการณ์โควิด-19 กับคำถามชวนคิดถึงมาตรการเยียวยาที่ได้รับ ,0,0,53
Coco45832013,2020-05-23 15:55:43,ใช่เเง้วถ้าไม่ติด covid นะ คอนวันโอที่ shanghai เจอกันนน,0,0,3
